iter	Passed	Remaining
0	2	200
1	3	180
2	5	166
3	6	154
4	7	151
5	9	154
6	11	149
7	12	143
8	13	140
9	15	137
10	16	137
11	18	133
12	19	129
13	20	128
14	22	125
15	24	126
16	25	125
17	27	123
18	28	121
19	29	119
20	31	119
21	33	117
22	34	116
23	36	114
24	37	111
25	39	111
26	40	110
27	42	108
28	43	106
29	44	104
30	46	104
31	48	102
32	49	101
33	51	99
34	52	98
35	54	97
36	56	96
37	57	94
38	59	92
39	60	91
40	62	90
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	72	78
48	74	77
49	75	75
50	77	74
51	79	73
52	81	71
53	82	70
54	83	68
55	85	67
56	87	65
57	88	64
58	90	62
59	92	61
60	94	60
61	96	58
62	97	57
63	99	56
64	101	54
65	103	53
66	104	51
67	107	50
68	108	48
69	110	47
70	112	45
71	113	44
72	115	42
73	117	41
74	118	39
75	120	37
76	122	36
77	124	34
78	125	33
79	127	31
80	128	30
81	130	28
82	131	26
83	133	25
84	134	23
85	136	22
86	138	20
87	140	19
88	141	17
89	143	15
90	144	14
91	146	12
92	148	11
93	149	9
94	150	7
95	152	6
96	154	4
97	155	3
98	157	1
99	158	0
