iter	Passed	Remaining
0	137	137841
1	140	70135
2	142	47377
3	144	36010
4	147	29282
5	149	24716
6	151	21425
7	154	19141
8	157	17366
9	161	15992
10	164	14789
11	167	13750
12	169	12864
13	171	12053
14	173	11361
15	176	10857
16	179	10377
17	182	9946
18	184	9535
19	187	9192
20	190	8861
21	191	8531
22	193	8204
23	194	7912
24	196	7655
25	198	7436
26	200	7213
27	201	7004
28	203	6813
29	205	6643
30	206	6458
31	208	6292
32	209	6147
33	212	6023
34	213	5893
35	215	5760
36	216	5633
37	218	5540
38	220	5433
39	221	5325
40	223	5222
41	225	5132
42	227	5064
43	229	4980
44	230	4898
45	232	4830
46	234	4761
47	236	4686
48	237	4613
49	239	4551
50	241	4495
51	243	4430
52	244	4366
53	245	4305
54	248	4261
55	249	4208
56	251	4153
57	252	4100
58	254	4062
59	256	4017
60	257	3970
61	259	3927
62	261	3888
63	263	3856
64	265	3814
65	266	3774
66	268	3740
67	271	3721
68	273	3687
69	275	3653
70	277	3629
71	279	3597
72	281	3571
73	283	3551
74	286	3529
75	287	3499
76	289	3469
77	291	3443
78	293	3423
79	295	3396
80	296	3368
81	298	3343
82	300	3315
83	301	3288
84	302	3261
85	304	3235
86	306	3214
87	308	3201
88	310	3182
89	312	3160
90	316	3157
91	318	3141
92	320	3123
93	322	3112
94	324	3092
95	326	3071
96	327	3050
97	329	3034
98	331	3018
99	333	2999
100	334	2981
101	337	2968
102	339	2953
103	341	2938
104	342	2923
105	345	2911
106	346	2894
107	348	2876
108	349	2859
109	351	2847
110	353	2833
111	355	2817
112	356	2800
113	358	2787
114	361	2779
115	362	2763
116	364	2748
117	366	2738
118	369	2732
119	370	2720
120	372	2708
121	374	2697
122	376	2686
123	379	2677
124	381	2668
125	383	2659
126	384	2645
127	386	2632
128	388	2621
129	390	2611
130	391	2599
131	393	2587
132	394	2574
133	397	2567
134	399	2557
135	400	2545
136	402	2534
137	404	2529
138	406	2520
139	408	2510
140	410	2501
141	412	2490
142	413	2479
143	415	2468
144	416	2458
145	418	2448
146	420	2440
147	422	2431
148	423	2420
149	425	2411
150	428	2406
151	429	2396
152	431	2388
153	433	2379
154	435	2373
155	436	2363
156	438	2353
157	440	2345
158	442	2338
159	443	2329
160	444	2318
161	446	2308
162	448	2303
163	450	2296
164	452	2288
165	453	2279
166	455	2272
167	457	2265
168	459	2257
169	460	2247
170	461	2239
171	464	2235
172	466	2228
173	467	2220
174	469	2211
175	471	2207
176	473	2199
177	474	2191
178	476	2183
179	477	2176
180	480	2172
181	481	2165
182	483	2158
183	485	2151
184	487	2148
185	489	2141
186	490	2134
187	492	2127
188	494	2123
189	496	2116
190	498	2109
191	499	2103
192	501	2098
193	503	2093
194	505	2087
195	507	2080
196	509	2076
197	510	2069
198	512	2062
199	513	2054
200	515	2049
201	518	2047
202	520	2042
203	521	2035
204	524	2033
205	526	2028
206	528	2023
207	530	2018
208	532	2016
209	534	2011
210	536	2005
211	538	2000
212	540	1997
213	542	1991
214	543	1985
215	545	1980
216	547	1976
217	549	1970
218	550	1963
219	552	1957
220	553	1951
221	555	1946
222	556	1940
223	558	1934
224	560	1929
225	562	1925
226	563	1919
227	565	1913
228	566	1907
229	568	1902
230	570	1898
231	571	1893
232	573	1887
233	575	1882
234	576	1877
235	578	1873
236	580	1867
237	581	1862
238	583	1857
239	585	1854
240	587	1849
241	589	1845
242	591	1841
243	593	1840
244	595	1835
245	597	1832
246	600	1831
247	602	1826
248	604	1821
249	605	1817
250	608	1814
251	609	1809
252	611	1804
253	612	1799
254	615	1797
255	616	1792
256	618	1787
257	619	1783
258	622	1779
259	623	1775
260	625	1771
261	626	1765
262	628	1761
263	630	1758
264	632	1754
265	634	1749
266	635	1745
267	637	1741
268	638	1736
269	640	1731
270	641	1726
271	643	1722
272	645	1718
273	646	1713
274	648	1709
275	649	1704
276	651	1701
277	653	1697
278	655	1693
279	656	1689
280	658	1685
281	660	1682
282	662	1677
283	663	1672
284	665	1668
285	667	1665
286	668	1661
287	670	1657
288	671	1653
289	673	1649
290	675	1646
291	677	1642
292	679	1638
293	680	1635
294	683	1632
295	684	1628
296	685	1623
297	687	1619
298	689	1616
299	691	1612
300	692	1608
301	694	1604
302	695	1600
303	698	1599
304	700	1596
305	702	1592
306	705	1591
307	706	1588
308	708	1585
309	710	1582
310	713	1580
311	714	1575
312	716	1572
313	717	1568
314	720	1566
315	721	1562
316	723	1558
317	724	1554
318	726	1550
319	728	1548
320	730	1544
321	732	1541
322	733	1538
323	735	1534
324	736	1530
325	738	1526
326	739	1522
327	741	1518
328	743	1516
329	745	1513
330	746	1509
331	748	1506
332	751	1504
333	752	1500
334	753	1496
335	755	1492
336	757	1489
337	758	1485
338	759	1481
339	761	1477
340	762	1473
